FS,IFI,IPI
88778.3829958601,0.016692779498342,2.3805215610698E-06
98208.9498976571,0.0170753181825181,3.26337357366801E-06
68496.7810900099,0.0167016355584128,2.80478697210928E-06
107829.540307487,0.0167473526871067,1.63486983742883E-06
73287.4143973846,0.0161199610468695,1.92973658892359E-06
78657.8455844544,0.0166540611736938,2.40424269136509E-06
80884.9072219158,0.0161933964629581,1.81205914078999E-06
96056.8938966812,0.0181870862181234,5.22238083108183E-06
71244.7040998147,0.0160723795303646,1.73417186976308E-06
74440.2218443376,0.0165823936657414,5.81088693269259E-06
80411.841164561,0.016912096144037,1.4839293428373E-05
114240.784015773,0.0167431858068264,2.33813930372888E-06
99265.5586131707,0.0170381184475302,2.26738427485936E-06
68411.0507579525,0.0172089049051932,1.95269454348592E-06
95911.9472400527,0.016419169422085,1.72610081344799E-06
63260.6892555904,0.0180276875330387,1.75670434969152E-06
89710.7084117451,0.0171057274687795,2.18024706413427E-06
62939.0019012986,0.0165487673533409,1.72694338174153E-06
108978.831987275,0.0162249037574976,4.22354809414949E-06
77636.4157028256,0.0166910260474521,2.25995958751215E-06
83029.5668729485,0.0166052728475103,1.88861678235637E-06
83471.0620200899,0.0174392568877332,2.16588067260384E-06
348151.923088084,0.0167737151530305,1.93843375531469E-06
107394.959382366,0.0165673448909734,1.74323703527532E-06
91487.3707944017,0.0170369452365295,1.7586804188428E-06
75499.0427046381,0.0163150416781977,2.29845069397004E-06
85193.4097148028,0.0164160989504352,2.54150379456084E-06
76511.3828337306,0.0172336674947621,1.9672515014751E-06
103601.549872303,0.0165454426658404,1.92429204923432E-06
97080.9948893535,0.0168735882451008,1.75727417674376E-06
97468.8473413444,0.0164321488417928,1.76699704939921E-06
61844.2742186266,0.0168961548087058,1.84899675539301E-06
82322.0944052188,0.0163584769749315,2.31797698687415E-06
111480.690538988,0.0165505650911182,1.66239018645011E-06
69246.2349431431,0.0166034606369359,1.9248641525183E-06
93772.9711575472,0.0162309887999664,7.55322784629925E-06
76197.8770027799,0.0173661890877294,2.20430873783147E-06
70449.0826339425,0.0167467726659253,1.87088437093741E-06
91333.1329633195,0.0167364724403447,5.18295705685738E-06
67478.5413191432,0.0164899035407283,1.7279170170512E-06
81446.5528196355,0.0177537118790806,1.82754204777917E-06
81507.1747150258,0.0167843077723369,7.29517554878355E-06
80187.6192031306,0.0174823077573262,3.7397999915255E-06
81597.9311014604,0.0168728736715461,1.73312248664468E-06
80388.7582115986,0.0157359414959858,1.93495879204194E-06
124056.217680192,0.0170278411563888,1.86120079975886E-06
111857.389017133,0.0168324272215968,1.77644987620908E-06
82570.6031556188,0.0164499213383516,1.88511790540058E-06
90924.5485491324,0.0172346706119671,2.51453037807018E-06
77118.1939466083,0.0166885580412641,1.7794164666782E-06
73818.8756275985,0.0169420728146616,5.13814890103695E-06
138632.026371393,0.0176406791348276,1.83075626010237E-06
76998.0319194635,0.0170492643295871,1.77624571120311E-06
89853.9480135164,0.0153403204996561,1.81767346918334E-06
75233.4669647431,0.016860876121566,1.80672983911019E-06
90996.549716491,0.0165569463062397,1.70455120065311E-06
71688.6692115425,0.0166511821948846,1.76084345015976E-06
73285.7023138546,0.0159403252625059,1.38928817664456E-06
86990.7004410365,0.0160916018500795,2.405404159775E-06
92822.8166174257,0.0167526360870259,2.66155053474874E-06
92288.8444909009,0.0170396622733811,1.94230324287347E-06
87972.5702304148,0.0165623864295431,1.86516240631317E-06
65158.5022697089,0.0168219102060258,1.6858296303559E-06
85810.2958080202,0.0168969600067369,1.70142276521668E-06
150206.204496789,0.0175047595392975,1.78059172853931E-06
98907.263175668,0.016868302735896,1.77076628323472E-06
127686.92880715,0.0167878191224636,1.71447807300368E-06
83657.1585192364,0.0170568933951569,1.83449107534215E-06
47639.8168973976,0.0167276928989021,1.76971639254287E-06
102104.551183385,0.0168873420264149,1.74222811019866E-06
77880.2231428876,0.0168592088730589,1.96850119982494E-06
95644.6188269307,0.0167533301857399,1.79010372918692E-06
46407.3103309274,0.0172086010271799,6.69202075870433E-06
80150.320090553,0.0166587971530377,1.67453817111464E-06
69763.4888742484,0.0169248757086431,1.90748855990249E-06
78062.2390712173,0.0164813856961033,2.06434868505976E-06
72120.7794116492,0.0168690289045885,2.06817760154663E-06
75646.6669393568,0.0170355001684172,1.73258933620091E-06
63612.1307723442,0.0170894947681212,1.74342216736338E-06
86006.3277001451,0.0164209170257991,1.73690363388546E-06
96110.5270635777,0.0163206351417232,2.30092455485088E-06
92071.5500778112,0.0170915169845703,1.72379922021402E-06
114047.163729141,0.0164063386274101,3.52357369788549E-06
74662.2052610621,0.0171923284901736,2.13742631516056E-06
67339.2217783615,0.0167802734028939,1.70211841323145E-06
81217.9746622827,0.0170661257197596,2.0222422859894E-06
101936.281681657,0.0173633312778081,1.84783377863963E-06
93401.6826117512,0.0170256444916117,1.89950858972009E-06
111585.523304863,0.0171457381135784,1.97749103469615E-06
94535.5718818585,0.0170876964283284,1.98071275552014E-06
66904.0260027901,0.0167247584264326,5.30316016966949E-06
79680.3726822979,0.0165540669575453,1.90337736373809E-06
97882.5789262499,0.0167874405947993,2.93829599714074E-06
103996.295052869,0.016810597561545,1.84489346685452E-06
75003.8773134406,0.0166089894353356,1.72333896802965E-06
90343.836355311,0.0167251001154816,2.00331280694355E-06
115221.416419151,0.0167638385277945,1.74490955178161E-06
75113.5959772808,0.0165408009974658,2.10442003980988E-06
73626.7774979805,0.0163216820317604,1.71674059914718E-06
101223.470164769,0.0170440843907941,1.72828566063301E-06
80140.129315541,0.0174664608693985,1.6829826541452E-06
74885.9643850827,0.0167996554074509,8.72671317972336E-06
82901.1707027972,0.0161137710774354,1.56210635216565E-06
80930.0963492945,0.0168359880190534,1.69100761391545E-06
81843.9944126488,0.0172100129972865,1.97459447092456E-06
